EnsemblGeneID	R1L1Kidney	R1L3Kidney	R1L7Kidney	R2L2Kidney	R2L6Kidney	R1L2Liver	R1L4Liver	R1L6Liver	R1L8Liver	R2L3Liver
ENSG00000189229	16	24	19	23	19	13	22	9	10	14
ENSG00000189339	49	58	35	68	43	23	16	25	15	21
ENSG00000008128	50	60	46	54	64	56	78	53	58	64
ENSG00000215790	2	2	4	5	1	0	0	0	1	3
ENSG00000008130	79	82	91	93	80	173	153	161	145	204
ENSG00000078369	848	838	836	852	884	316	320	360	314	351
ENSG00000169885	0	0	1	0	0	5	1	4	4	8
ENSG00000178821	1	2	2	2	5	7	4	8	3	6
ENSG00000205073	0	0	0	0	0	6	13	3	7	2
ENSG00000185011	0	0	0	0	0	0	0	0	0	0
ENSG00000142609	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	1	0	0	0	0	0	0	0	0	0
ENSG00000067606	72	68	66	74	85	23	39	25	19	27
ENSG00000205069	0	1	0	0	1	0	1	0	1	0
ENSG00000182873	3	3	3	5	10	2	1	5	1	3
ENSG00000162585	49	47	48	57	61	25	31	28	18	31
ENSG00000186423	4	7	2	5	5	2	5	2	5	5
ENSG00000215985	0	0	0	0	0	0	0	0	0	0
ENSG00000183472	0	0	0	0	1	1	1	2	0	1
ENSG00000157933	63	59	65	72	66	35	30	29	27	41
ENSG00000116151	13	10	5	10	12	2	1	0	6	3
ENSG00000178642	11	7	7	4	12	2	3	2	4	2
ENSG00000157916	340	315	339	401	367	339	330	346	331	382
ENSG00000157911	100	99	108	148	148	108	102	121	125	128
ENSG00000149527	15	8	15	12	19	8	6	5	7	8
ENSG00000157881	43	46	50	44	44	20	20	18	21	20
ENSG00000197921	0	0	2	0	0	0	0	2	0	1
ENSG00000205049	0	0	1	0	1	1	1	1	0	0
ENSG00000157873	88	105	83	105	131	54	68	64	61	64
ENSG00000157870	56	50	66	82	58	25	14	13	21	17
ENSG00000142606	11	5	6	14	9	5	4	1	4	1
ENSG00000215913	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	142	160	140	176	180	2	1	3	3	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0
ENSG00000177121	85	84	60	89	98	0	1	0	1	0
ENSG00000142611	47	37	44	45	54	2	2	3	1	4
ENSG00000130762	58	60	51	61	56	3	1	8	2	1
ENSG00000162591	29	20	16	27	21	20	38	23	26	26
ENSG00000207776	0	0	0	0	0	0	0	0	0	0
ENSG00000158109	188	200	184	200	228	204	232	230	209	260
ENSG00000116213	18	28	15	23	28	10	13	21	22	18
ENSG00000078900	0	0	0	0	0	0	0	0	0	1
ENSG00000187648	7	4	4	10	4	3	2	5	1	3
ENSG00000162592	0	0	0	0	0	1	0	0	0	0
ENSG00000130764	108	86	114	106	106	90	98	90	76	119
ENSG00000116198	84	87	88	80	106	50	39	46	46	42
ENSG00000169598	6	17	12	13	10	12	10	8	13	8
ENSG00000198912	55	40	39	51	57	32	31	25	26	32
ENSG00000196581	8	11	18	12	12	1	2	2	2	3
ENSG00000216045	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	22	17	24	25	23	10	12	9	4	5
ENSG00000069424	93	67	72	84	81	17	25	23	17	23
ENSG00000116254	4	4	6	4	5	0	2	0	2	0
ENSG00000116251	315	308	330	358	364	140	158	164	144	174
ENSG00000158286	55	61	61	66	65	24	30	25	23	38
ENSG00000116237	176	164	148	173	184	60	68	53	51	52
ENSG00000181563	0	1	1	1	2	2	0	2	0	0
ENSG00000173673	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	4	8	4	8	7	19	19	15	20	16
ENSG00000097021	86	78	81	88	90	17	18	28	13	15
ENSG00000204902	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	0	2	0	0	0	0	0	0	0	0
ENSG00000187017	102	84	83	108	107	138	137	112	131	146
ENSG00000215788	16	7	13	7	20	5	5	9	9	7
ENSG00000171680	22	18	22	27	21	5	8	6	3	10
ENSG00000162408	40	33	43	38	39	17	20	22	19	26
ENSG00000209367	0	0	0	0	0	0	0	0	0	0
ENSG00000173662	0	0	0	0	0	1	0	0	0	0
ENSG00000204859	26	42	30	35	35	32	38	42	29	36
ENSG00000162413	146	145	146	148	161	70	74	67	60	80
ENSG00000116273	50	40	37	52	41	22	16	21	30	19
ENSG00000041988	21	21	14	27	32	12	13	14	21	13
ENSG00000007923	246	203	234	278	278	100	100	88	94	125
ENSG00000171735	85	92	108	82	88	19	19	16	15	12
ENSG00000175861	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	2	0
ENSG00000204819	0	0	0	0	0	0	0	0	0	0
ENSG00000049245	146	135	143	155	154	56	56	64	50	56
ENSG00000049246	94	126	85	131	119	100	111	93	86	99
ENSG00000049247	0	1	0	0	0	0	0	0	0	0
ENSG00000212677	0	0	0	0	0	0	0	0	0	0
ENSG00000049249	0	0	0	1	1	0	0	0	0	0
ENSG00000209371	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	364	395	394	481	474	214	229	198	171	208
ENSG00000200344	0	0	0	1	0	0	0	0	0	0
ENSG00000116285	115	144	115	143	153	1669	1753	1710	1675	1794
ENSG00000200975	0	0	0	0	0	1	2	1	1	0
ENSG00000209383	0	0	0	0	0	0	0	0	1	0
ENSG00000162426	26	31	30	29	32	0	0	1	0	0
ENSG00000206757	0	2	0	0	0	0	0	0	0	0
ENSG00000142599	464	463	458	523	446	192	191	163	155	176
ENSG00000209385	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	1499	1528	1318	1546	1551	337	311	336	301	343
ENSG00000201725	0	0	0	0	0	0	1	0	1	0
ENSG00000183445	0	0	0	1	0	0	0	0	1	1
ENSG00000131686	0	0	0	0	0	2	0	0	0	1
ENSG00000212621	0	1	0	0	0	0	2	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	13	16	14	24	20	0	0	1	0	1
ENSG00000212602	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	4	5	5	7	7	2	0	2	1	2
ENSG00000207865	0	0	0	0	0	0	0	0	0	0
ENSG00000204772	0	0	0	0	0	0	0	0	0	0
ENSG00000049239	183	232	179	207	199	838	822	814	773	895
ENSG00000171621	13	16	7	14	13	27	30	37	24	35
ENSG00000209395	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	20	22	19	25	31	20	21	23	24	15
ENSG00000188807	1	5	9	3	5	0	0	1	0	0
ENSG00000171608	16	30	20	22	26	14	18	14	14	19
ENSG00000179840	0	1	0	0	3	0	1	1	1	1
ENSG00000171603	533	576	556	635	581	68	44	51	62	81
ENSG00000204749	0	0	0	0	0	0	0	0	0	0
ENSG00000178585	90	75	82	84	72	38	36	32	32	31
ENSG00000162441	32	57	53	73	68	24	28	25	14	23
ENSG00000173614	60	38	52	50	44	21	26	22	24	22
ENSG00000202415	1	0	0	0	0	0	1	0	1	1
ENSG00000162444	26	32	24	26	22	6	4	7	4	4
ENSG00000130939	167	161	127	158	175	85	74	77	74	108
ENSG00000201746	0	0	0	0	0	0	0	0	0	0
ENSG00000054523	207	248	223	219	230	129	119	119	108	116
ENSG00000199562	0	0	0	0	0	0	0	2	1	0
ENSG00000142657	166	159	138	138	177	82	63	79	78	89
ENSG00000175279	30	22	22	20	32	8	10	6	8	11
ENSG00000160049	87	74	90	105	92	50	44	42	42	44
ENSG00000142655	36	36	25	44	40	38	34	22	39	37
ENSG00000209421	0	0	0	1	0	0	0	0	0	0
ENSG00000130940	36	44	43	56	45	7	4	2	4	9
ENSG00000175262	0	0	0	0	0	0	0	0	0	0
ENSG00000215785	1	0	0	0	0	4	1	0	1	0
ENSG00000207213	0	0	0	0	0	0	0	0	0	0
ENSG00000120948	152	181	176	179	178	138	131	122	108	120
ENSG00000009724	10	12	10	9	9	162	145	132	139	174
ENSG00000116649	37	32	44	54	47	37	42	43	40	47
ENSG00000171824	104	108	111	86	118	44	51	49	60	56
ENSG00000198793	204	198	174	226	224	113	133	119	119	124
ENSG00000209426	0	0	1	0	0	0	0	0	0	0
ENSG00000171819	0	2	1	0	0	2	1	1	1	2
ENSG00000207451	0	0	0	0	0	0	0	0	0	0
ENSG00000120942	11	3	2	11	7	4	3	4	2	2
ENSG00000204624	3	0	0	3	1	0	0	0	0	0
ENSG00000116661	43	18	30	42	30	11	8	12	8	4
ENSG00000132879	102	78	76	113	96	30	32	24	22	25
ENSG00000116663	6	6	1	4	12	8	3	6	9	9
ENSG00000116670	24	33	26	33	23	34	25	20	15	27
ENSG00000162490	1	0	0	3	2	0	0	1	0	0
ENSG00000177674	75	53	62	74	56	9	15	7	9	9
ENSG00000177553	0	0	0	1	0	0	0	1	0	0
ENSG00000215910	5	18	7	15	13	4	3	5	1	6
ENSG00000177000	130	146	108	134	130	29	28	34	28	33
ENSG00000116685	34	30	24	33	29	29	28	22	17	28
ENSG00000011021	21	16	15	6	13	3	3	4	6	2
ENSG00000175206	2	4	3	4	4	2	0	3	3	2
ENSG00000120937	0	0	0	1	0	0	1	0	0	0
ENSG00000199347	8	5	2	2	6	0	2	1	2	2
ENSG00000201801	0	0	0	0	0	0	0	0	0	0
ENSG00000083444	210	208	158	209	188	173	164	172	157	162
ENSG00000116688	117	134	122	124	115	71	72	72	68	68
ENSG00000116691	16	27	19	28	19	16	22	22	19	28
ENSG00000202461	0	1	0	1	2	0	0	0	0	0
ENSG00000209447	0	0	0	0	0	0	0	0	0	0
ENSG00000120949	1	1	0	4	2	0	0	1	0	1
ENSG00000201135	0	0	0	0	0	0	0	0	0	0
ENSG00000028137	21	16	25	25	22	47	50	45	46	68
ENSG00000048707	383	393	349	420	418	162	161	164	174	171
ENSG00000209457	0	0	0	0	0	0	0	0	0	0
ENSG00000209460	0	0	0	0	0	0	0	0	0	0
ENSG00000209463	0	0	0	0	0	0	1	1	2	0
ENSG00000162496	220	232	220	250	280	524	485	484	454	590
ENSG00000204518	5	7	2	4	4	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0	0
ENSG00000209466	0	0	0	0	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0	0	0	0	0
ENSG00000116721	0	0	0	0	0	0	0	0	0	0
ENSG00000204513	0	0	0	0	0	0	0	0	0	0
